Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Live Seat Availability,Live Fare (₹)
ROUTE_16,2,12218,KERALA S.KRA,UMB,KOTA,10:20:00,19:45:00,655.0,9h 25m,1h 0m,UNKNOWN,0.0
ROUTE_17,1,11057,AMRITSAR EXP,NDLS,UMB,04:30:00,09:20:00,199.0,4h 50m,0h 0m,UNKNOWN,0.0
ROUTE_17,2,12484,KCVL EXPRESS,UMB,KOTA,10:20:00,19:40:00,655.0,9h 20m,1h 0m,UNKNOWN,0.0
ROUTE_18,1,11057,AMRITSAR EXP,NDLS,JRC,04:30:00,14:43:00,419.0,10h 13m,0h 0m,UNKNOWN,0.0
ROUTE_18,2,22941,INDB JAT SF,JRC,KOTA,21:28:00,06:10:00,827.0,8h 42m,6h 45m,UNKNOWN,0.0
ROUTE_19,1,11057,AMRITSAR EXP,NDLS,ASR,04:30:00,16:30:00,502.0,12h 0m,0h 0m,UNKNOWN,0.0
ROUTE_19,2,12904,GOLDN TEMPLE,ASR,KOTA,21:25:00,14:20:00,968.0,16h 55m,4h 55m,UNKNOWN,0.0
ROUTE_20,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,UNKNOWN,0.0
ROUTE_20,2,12284,NZM-ERS DURO,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m,UNKNOWN,0.0
ROUTE_21,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,UNKNOWN,0.0
ROUTE_21,2,12494,NZM-PUNE AC,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m,UNKNOWN,0.0
ROUTE_22,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,UNKNOWN,0.0
ROUTE_22,2,12908,MHRST SMPRK,NZM,KOTA,21:35:00,03:00:00,450.0,5h 25m,0h 32m,UNKNOWN,0.0
ROUTE_23,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,UNKNOWN,0.0
ROUTE_23,2,12912,HW BL SUP EX,NZM,KOTA,23:35:00,06:10:00,451.0,6h 35m,2h 32m,UNKNOWN,0.0
ROUTE_24,1,11058,ASR CSMT EXP,NDLS,NZM,20:45:00,21:03:00,7.0,0h 18m,0h 0m,UNKNOWN,0.0
ROUTE_24,2,12917,GUJARAT SMPR,NZM,KOTA,00:00:00,02:55:00,448.0,2h 55m,2h 57m,UNKNOWN,0.0
ROUTE_25,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_25,2,19020,DEHRADUN EXP,MTJ,KOTA,01:35:00,07:35:00,320.0,6h 0m,2h 0m,UNKNOWN,0.0
ROUTE_26,1,11058,ASR CSMT EXP,NDLS,MTJ,20:45:00,23:35:00,138.0,2h 50m,0h 0m,UNKNOWN,0.0
ROUTE_26,2,19806,UHP-KOTA WEE,MTJ,KOTA,06:20:00,11:10:00,320.0,4h 50m,6h 45m,UNKNOWN,0.0
